file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
camille-pissarro/camille-pissarro__landscape-with-figures-by-a-river.jpg,camille-pissarro,Camille Pissarro,Landscape with Figures by a River,1854,https://www.wikiart.org/en/camille-pissarro/landscape-with-figures-by-a-river,landscape-with-figures-by-a-river,https://uploads3.wikiart.org/images/camille-pissarro/landscape-with-figures-by-a-river.jpg!Large.jpg,750,503,Realism,watercolor|paper,landscape,Sky|Water|Tree,,"Ashmolean Museum, Oxford, UK",,
camille-pissarro/camille-pissarro__landscape-with-house-in-the-woods-in-saint-thomas-antilles.jpg,camille-pissarro,Camille Pissarro,"Landscape with House in the Woods in Saint Thomas, Antilles",1855,https://www.wikiart.org/en/camille-pissarro/landscape-with-house-in-the-woods-in-saint-thomas-antilles,landscape-with-house-in-the-woods-in-saint-thomas-antilles,https://uploads1.wikiart.org/images/camille-pissarro/landscape-with-house-in-the-woods-in-saint-thomas-antilles.jpg!Large.jpg,750,585,Realism,oil|canvas,landscape,Tree|Adaptation|Woody plant|Ruins,,Private Collection,,
camille-pissarro/camille-pissarro__laundress-on-the-banks-of-the-river.jpg,camille-pissarro,Camille Pissarro,Laundress on the Banks of the River,1855,https://www.wikiart.org/en/camille-pissarro/laundress-on-the-banks-of-the-river,laundress-on-the-banks-of-the-river,https://uploads5.wikiart.org/images/camille-pissarro/laundress-on-the-banks-of-the-river.jpg!Large.jpg,750,522,Realism,,genre painting,Natural landscape|Sky|Bank|Tree|Water,,Private Collection,,
camille-pissarro/camille-pissarro__mountain-landscape-at-saint-thomas-antilles-unfinished.jpg,camille-pissarro,Camille Pissarro,"Mountain Landscape at Saint Thomas, Antilles (unfinished)",1855,https://www.wikiart.org/en/camille-pissarro/mountain-landscape-at-saint-thomas-antilles-unfinished,mountain-landscape-at-saint-thomas-antilles-unfinished,https://uploads6.wikiart.org/images/camille-pissarro/mountain-landscape-at-saint-thomas-antilles-unfinished.jpg!Large.jpg,750,591,Realism,oil|canvas,landscape,Sky|Mountain|Rural area,,Private Collection,,
camille-pissarro/camille-pissarro__village-at-the-foot-of-a-hill-in-saint-thomas-antilles.jpg,camille-pissarro,Camille Pissarro,"Village at the Foot of a Hill in Saint Thomas, Antilles",1855,https://www.wikiart.org/en/camille-pissarro/village-at-the-foot-of-a-hill-in-saint-thomas-antilles,village-at-the-foot-of-a-hill-in-saint-thomas-antilles,https://uploads6.wikiart.org/images/camille-pissarro/village-at-the-foot-of-a-hill-in-saint-thomas-antilles.jpg!Large.jpg,750,594,Realism,oil|canvas,landscape,Natural landscape|Sky|Tree|Mountain,,Private Collection,,
camille-pissarro/camille-pissarro__woman-carrying-a-pitcher-on-her-head.jpg,camille-pissarro,Camille Pissarro,Woman Carrying a Pitcher on Her Head,1855,https://www.wikiart.org/en/camille-pissarro/woman-carrying-a-pitcher-on-her-head,woman-carrying-a-pitcher-on-her-head,https://uploads6.wikiart.org/images/camille-pissarro/woman-carrying-a-pitcher-on-her-head.jpg!Large.jpg,417,600,Realism,oil|canvas,genre painting,,,"E.G. Bührle Foundation, Zürich, Switzerland",,
camille-pissarro/camille-pissarro__a-creek-in-saint-thomas-antilles-1856.jpg,camille-pissarro,Camille Pissarro,"A Creek in Saint Thomas, Antilles",1856,https://www.wikiart.org/en/camille-pissarro/a-creek-in-saint-thomas-antilles-1856,a-creek-in-saint-thomas-antilles-1856,https://uploads7.wikiart.org/images/camille-pissarro/a-creek-in-saint-thomas-antilles-1856.jpg!Large.jpg,750,478,Realism,oil|canvas,genre painting,Sky|Tree|Palm tree|Sea|Calm|Shore,,Private Collection,,
camille-pissarro/camille-pissarro__antilian-landscape-st-thomas-1856.jpg,camille-pissarro,Camille Pissarro,"Antilian Landscape, St. Thomas",1856,https://www.wikiart.org/en/camille-pissarro/antilian-landscape-st-thomas-1856,antilian-landscape-st-thomas-1856,https://uploads3.wikiart.org/images/camille-pissarro/antilian-landscape-st-thomas-1856.jpg!Large.jpg,750,518,Realism,oil|canvas,landscape,Nature|Natural landscape|morning|Atmospheric phenomenon|Tree|Sky,,Private Collection,,
camille-pissarro/camille-pissarro__two-woman-chatting-by-the-sea-st-thomas-1856.jpg,camille-pissarro,Camille Pissarro,"Two Woman Chatting by the Sea, St. Thomas",1856,https://www.wikiart.org/en/camille-pissarro/two-woman-chatting-by-the-sea-st-thomas-1856,two-woman-chatting-by-the-sea-st-thomas-1856,https://uploads5.wikiart.org/images/camille-pissarro/two-woman-chatting-by-the-sea-st-thomas-1856.jpg!Large.jpg,750,507,Realism,chalk|paper,genre painting,,,,,
camille-pissarro/camille-pissarro__the-harvest.jpg,camille-pissarro,Camille Pissarro,The Harvest,1857,https://www.wikiart.org/en/camille-pissarro/the-harvest,the-harvest,https://uploads8.wikiart.org/images/camille-pissarro/the-harvest.jpg!Large.jpg,750,388,Realism,oil|panel,genre painting,Pasture|Grazing|Sky|Hay|Plain,,Private Collection,,
camille-pissarro/camille-pissarro__in-the-woods.jpg,camille-pissarro,Camille Pissarro,In the Woods,1859,https://www.wikiart.org/en/camille-pissarro/in-the-woods,in-the-woods,https://uploads0.wikiart.org/images/camille-pissarro/in-the-woods.jpg!Large.jpg,460,600,Realism,oil|canvas,landscape,Tree|Forest|Woodland|Nature|Natural environment|Northern hardwood forest|Grove|Natural landscape|Old-growth forest|Biome,,Private Collection,,
camille-pissarro/camille-pissarro__the-bohemian-s-wagon-1862.jpg,camille-pissarro,Camille Pissarro,The bohemian's wagon,1862,https://www.wikiart.org/en/camille-pissarro/the-bohemian-s-wagon-1862,the-bohemian-s-wagon-1862,https://uploads4.wikiart.org/images/camille-pissarro/the-bohemian-s-wagon-1862.jpg!Large.jpg,750,489,Realism,oil|canvas,genre painting,Rural area|House|Barn|Sky,,Private Collection,,
camille-pissarro/camille-pissarro__entering-a-village.jpg,camille-pissarro,Camille Pissarro,Entering a Village,1863,https://www.wikiart.org/en/camille-pissarro/entering-a-village,entering-a-village,https://uploads6.wikiart.org/images/camille-pissarro/entering-a-village.jpg!Large.jpg,750,569,Realism,oil|canvas,landscape,Rural area|Sky,,Private Collection,,
camille-pissarro/camille-pissarro__farmyard.jpg,camille-pissarro,Camille Pissarro,Farmyard,1863,https://www.wikiart.org/en/camille-pissarro/farmyard,farmyard,https://uploads5.wikiart.org/images/camille-pissarro/farmyard.jpg!Large.jpg,745,600,Realism,oil|canvas,landscape,House|Rural area|Village|Sky,,Private Collection,,
camille-pissarro/camille-pissarro__la-varenne-de-st-hilaire-1863.jpg,camille-pissarro,Camille Pissarro,La Varenne de St. Hilaire,1863,https://www.wikiart.org/en/camille-pissarro/la-varenne-de-st-hilaire-1863,la-varenne-de-st-hilaire-1863,https://uploads8.wikiart.org/images/camille-pissarro/la-varenne-de-st-hilaire-1863.jpg!Large.jpg,750,500,Realism,oil|canvas,landscape,Natural landscape|Tree|Field|Rural area|Pasture|Meadow|Sky,,"Budapest Museum of Fine Arts, Budapest, Hungary",,
camille-pissarro/camille-pissarro__the-telegraph-tower-at-montmartre-1863.jpg,camille-pissarro,Camille Pissarro,The Telegraph Tower at Montmartre,1863,https://www.wikiart.org/en/camille-pissarro/the-telegraph-tower-at-montmartre-1863,the-telegraph-tower-at-montmartre-1863,https://uploads8.wikiart.org/images/camille-pissarro/the-telegraph-tower-at-montmartre-1863.jpg!Large.jpg,477,600,Realism,oil|canvas,cityscape,Sky,,Private Collection,,
