artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
pierre-bonnard,Pierre Bonnard,Pot of Flowers,1888,https://www.wikiart.org/en/pierre-bonnard/pot-of-flowers,pot-of-flowers,https://uploads0.wikiart.org/images/pierre-bonnard/pot-of-flowers.jpg!Large.jpg,489,600,Post-Impressionism,oil|canvas,flower painting,Tree|Plant,,Private Collection,,
pierre-bonnard,Pierre Bonnard,Self Portrait,1889,https://www.wikiart.org/en/pierre-bonnard/self-portrait-1889,self-portrait-1889,https://uploads4.wikiart.org/images/pierre-bonnard/self-portrait-1889.jpg!Large.jpg,453,600,Post-Impressionism,oil|panel,self-portrait,Gentleman,,Private Collection,,
pierre-bonnard,Pierre Bonnard,poster advertising France Champagne,1891,https://www.wikiart.org/en/pierre-bonnard/poster-advertising-france-champagne-1891,poster-advertising-france-champagne-1891,https://uploads8.wikiart.org/images/pierre-bonnard/poster-advertising-france-champagne-1891.jpg!Large.jpg,443,600,Japonism,lithography,advertisement|poster,Text|Vintage advertisement|Font|Champagne,,"Bibliothèque nationale de France (BnF), Paris, France",,
pierre-bonnard,Pierre Bonnard,Snowballs,1891,https://www.wikiart.org/en/pierre-bonnard/snowballs-1891,snowballs-1891,https://uploads0.wikiart.org/images/pierre-bonnard/snowballs-1891.jpg!Large.jpg,461,600,Japonism,oil|canvas,flower painting,Leaf|Botany|Tree|Plant,,Private Collection,,
pierre-bonnard,Pierre Bonnard,Study for Afternoon in the Garden,1891,https://www.wikiart.org/en/pierre-bonnard/study-for-afternoon-in-the-garden-1891,study-for-afternoon-in-the-garden-1891,https://uploads6.wikiart.org/images/pierre-bonnard/study-for-afternoon-in-the-garden-1891.jpg!Large.jpg,720,600,Post-Impressionism,,genre painting,,,Private Collection,,
pierre-bonnard,Pierre Bonnard,Two Poodles,1891,https://www.wikiart.org/en/pierre-bonnard/two-poodles-1891,two-poodles-1891,https://uploads2.wikiart.org/images/pierre-bonnard/two-poodles-1891.jpg!Large.jpg,644,600,Japonism,oil|canvas,animal painting,,,"Southampton City Art Gallery, Southampton, UK",,
pierre-bonnard,Pierre Bonnard,Woman with Dog,1891,https://www.wikiart.org/en/pierre-bonnard/woman-with-dog-1891,woman-with-dog-1891,https://uploads5.wikiart.org/images/pierre-bonnard/woman-with-dog-1891.jpg!Large.jpg,460,600,Japonism,oil|canvas,genre painting,Pattern|Textile,,"Clark Art Institute, Williamstown, MA, US",,
pierre-bonnard,Pierre Bonnard,Young Girl Sitting with a Rabbit,1891,https://www.wikiart.org/en/pierre-bonnard/young-girl-sitting-with-a-rabbit-1891,young-girl-sitting-with-a-rabbit-1891,https://uploads5.wikiart.org/images/pierre-bonnard/young-girl-sitting-with-a-rabbit-1891.jpg!Large.jpg,266,600,Japonism,oil|canvas,genre painting,Military camouflage,,,,"Bonnard, like many artists of the late 19th century, was influenced by the art of Japanese wood block prints. These prints were an object of awe for the artist, who was intrigued by the disposal of a representative third dimension of space, and the representation of the forms in two dimensions. Instead of complex light and shading, he flattened out his figures out in decorative patterns and idealized shapes. Young Girl Sitting with a Rabbit also exemplifies some of the traits that characterize Bonnard’s Nabis Period, such as the S-curve of the young girl’s body, the flourishly decorative forms, and as previously mentioned, the flat two dimensional composition."
pierre-bonnard,Pierre Bonnard,"Dusk, or A Round of Croquet",1892,https://www.wikiart.org/en/pierre-bonnard/dusk-or-a-round-of-croquet-1892,dusk-or-a-round-of-croquet-1892,https://uploads8.wikiart.org/images/pierre-bonnard/dusk-or-a-round-of-croquet-1892.jpg!Large.jpg,747,600,Japonism,oil|canvas,genre painting,Military camouflage|Tree|Camouflage|Organism,,"Musée d'Orsay, Paris, France",,
pierre-bonnard,Pierre Bonnard,The Dressing Gown,1892,https://www.wikiart.org/en/pierre-bonnard/the-dressing-gown-1892,the-dressing-gown-1892,https://uploads8.wikiart.org/images/pierre-bonnard/the-dressing-gown-1892.jpg!Large.jpg,185,600,Japonism,canvas|tempera,portrait,Brown|Leaf|Tree,,"Musée d'Orsay, Paris, France",,
