file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
georges-seurat/georges-seurat__grandcamp-evening-1885.jpg,georges-seurat,Georges Seurat,"Grandcamp, Evening",1885,https://www.wikiart.org/en/georges-seurat/grandcamp-evening-1885,grandcamp-evening-1885,https://uploads7.wikiart.org/images/georges-seurat/grandcamp-evening-1885.jpg,501,400,Pointillism|Neo-Impressionism,oil|canvas,landscape,France|Normandy|Grandcamp|cliffs-and-rocks,France,"Museum of Modern Art (MoMA), New York City, NY, US",,
georges-seurat/georges-seurat__landscape-at-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Landscape at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/landscape-at-grandcamp-1885,landscape-at-grandcamp-1885,https://uploads4.wikiart.org/images/georges-seurat/landscape-at-grandcamp-1885.jpg!Large.jpg,750,460,Impressionism|Neo-Impressionism,oil|wood,landscape,France|fields-and-plains|Normandy|forests-and-trees|Grandcamp|Brown|Pattern|Wood stain,France,"Palais des Beaux-Arts de Lille, Lille, France",,
georges-seurat/georges-seurat__landscape-with-figure-study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Landscape with Figure. Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/landscape-with-figure-study-for-la-grande-jatte-1885,landscape-with-figure-study-for-la-grande-jatte-1885,https://uploads2.wikiart.org/images/georges-seurat/landscape-with-figure-study-for-la-grande-jatte-1885.jpg!Large.jpg,750,476,Impressionism,oil|wood,landscape,rivers-and-waterfalls|gardens-and-parks|France|Grande-Jatte|Tree|Bayou|Natural landscape|Natural environment|Leaf|Northern hardwood forest|Bank|Water|Woody plant,France,"National Gallery, London, UK",,
georges-seurat/georges-seurat__low-tide-at-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Low Tide at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/low-tide-at-grandcamp-1885,low-tide-at-grandcamp-1885,https://uploads3.wikiart.org/images/georges-seurat/low-tide-at-grandcamp-1885.jpg!Large.jpg,750,587,Pointillism|Neo-Impressionism,oil|canvas,marina,boats-and-ships|seas-and-oceans|France|Normandy|Grandcamp|Boat|Vehicle,France,Private Collection,,
georges-seurat/georges-seurat__race-in-grandcamp-1885.jpg,georges-seurat,Georges Seurat,Race in Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/race-in-grandcamp-1885,race-in-grandcamp-1885,https://uploads8.wikiart.org/images/georges-seurat/race-in-grandcamp-1885.jpg!Large.jpg,750,599,Pointillism|Neo-Impressionism,oil|canvas,landscape,boats-and-ships|France|Normandy|Grandcamp|Tree|Sky,France,Private Collection,,
georges-seurat/georges-seurat__ruins-at-grandcamp.jpg,georges-seurat,Georges Seurat,Ruins at Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/ruins-at-grandcamp,ruins-at-grandcamp,https://uploads3.wikiart.org/images/georges-seurat/ruins-at-grandcamp.jpg,640,509,Impressionism|Neo-Impressionism,oil,landscape,ruins-and-columns|France|Normandy|Grandcamp|Picture frame|Rectangle,France,"Musée d'Orsay, Paris, France",,
georges-seurat/georges-seurat__study-for-un-dimanche-dete-a-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,"Study for ""Un dimanche d'été à la Grande Jatte""",1885,https://www.wikiart.org/en/georges-seurat/study-for-un-dimanche-dete-a-la-grande-jatte-1885,study-for-un-dimanche-dete-a-la-grande-jatte-1885,https://uploads8.wikiart.org/images/georges-seurat/study-for-un-dimanche-d-été-à-la-grande-jatte-1885.jpg,392,512,Post-Impressionism,crayon|paper,sketch and study,clothing-and-textile,France,"Musée Picasso, Paris, France",,
georges-seurat/georges-seurat__study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/study-for-la-grande-jatte-1885,study-for-la-grande-jatte-1885,https://uploads7.wikiart.org/images/georges-seurat/study-for-la-grande-jatte-1885.jpg!Large.jpg,750,450,Post-Impressionism|Neo-Impressionism,oil|canvas,landscape,animals|dogs|couples|rivers-and-waterfalls|France|Island-of-La-Grande-Jatte|leisure-and-sleep|Tree|Grass|Rural area|Pasture,France,"Art Institute of Chicago, Chicago, IL, US",,
georges-seurat/georges-seurat__study-with-figures-study-for-la-grande-jatte-1885.jpg,georges-seurat,Georges Seurat,Study with Figures. Study for 'La Grande Jatte',1885,https://www.wikiart.org/en/georges-seurat/study-with-figures-study-for-la-grande-jatte-1885,study-with-figures-study-for-la-grande-jatte-1885,https://uploads8.wikiart.org/images/georges-seurat/study-with-figures-study-for-la-grande-jatte-1885.jpg!Large.jpg,750,428,Post-Impressionism|Neo-Impressionism,oil|canvas,genre painting,rivers-and-waterfalls|gardens-and-parks|France|Grande-Jatte|Tree|Woody plant,France,"Art Institute of Chicago, Chicago, IL, US",,
georges-seurat/georges-seurat__the-away-samson-in-grandcamp-1885.jpg,georges-seurat,Georges Seurat,The away Samson in Grandcamp,1885,https://www.wikiart.org/en/georges-seurat/the-away-samson-in-grandcamp-1885,the-away-samson-in-grandcamp-1885,https://uploads1.wikiart.org/images/georges-seurat/the-away-samson-in-grandcamp-1885.jpg!Large.jpg,750,461,Pointillism|Neo-Impressionism,oil|wood,landscape,countryside|cottages-and-farmhouses|fields-and-plains|Normandy,France,Private Collection,,
