file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
vincent-van-gogh/vincent-van-gogh__dog.jpg,vincent-van-gogh,Vincent van Gogh,Dog,1862,https://www.wikiart.org/en/vincent-van-gogh/dog,dog,https://uploads3.wikiart.org/images/vincent-van-gogh/dog(1).jpg!Large.jpg,750,482,Post-Impressionism,,animal painting,animals|dogs|Dog|Vertebrate|Canidae|Mammal|Dog breed|Sketch|Carnivore|Sporting Group,,,,
vincent-van-gogh/vincent-van-gogh__milk-jug.jpg,vincent-van-gogh,Vincent van Gogh,Milk Jug,1862,https://www.wikiart.org/en/vincent-van-gogh/milk-jug,milk-jug,https://uploads5.wikiart.org/images/vincent-van-gogh/milk-jug.jpg!Large.jpg,484,600,Realism,,still life,dishware-and-cutlery|Sketch|Still life photography,,,,
vincent-van-gogh/vincent-van-gogh__the-goat-herd-1862.jpg,vincent-van-gogh,Vincent van Gogh,The Goat Herd,1862,https://www.wikiart.org/en/vincent-van-gogh/the-goat-herd-1862,the-goat-herd-1862,https://uploads6.wikiart.org/images/vincent-van-gogh/the-goat-herd-1862.jpg!Large.jpg,750,568,Realism,pencil|paper,sketch and study,animals|countryside|goats|sheep|Sketch|Goat-antelope|Shepherd|Goatherd,ZundertNetherlands,Private Collection,,
vincent-van-gogh/vincent-van-gogh__barn-and-farmhouse.jpg,vincent-van-gogh,Vincent van Gogh,Barn and Farmhouse,1864,https://www.wikiart.org/en/vincent-van-gogh/barn-and-farmhouse,barn-and-farmhouse,https://uploads0.wikiart.org/images/vincent-van-gogh/barn-and-farmhouse(1).jpg!Large.jpg,750,552,Post-Impressionism,pencil|paper,landscape,countryside|cottages-and-farmhouses|House|Sketch,,,,
vincent-van-gogh/vincent-van-gogh__two-sketches-of-a-man-leaning-on-his-spade-1867.jpg,vincent-van-gogh,Vincent van Gogh,Two Sketches of a Man Leaning on His Spade,1867,https://www.wikiart.org/en/vincent-van-gogh/two-sketches-of-a-man-leaning-on-his-spade-1867,two-sketches-of-a-man-leaning-on-his-spade-1867,https://uploads8.wikiart.org/images/vincent-van-gogh/two-sketches-of-a-man-leaning-on-his-spade-1867.jpg!Large.jpg,593,600,Realism,,sketch and study,handwork|Standing|Sketch|Uniform,ZundertNetherlands,,,
vincent-van-gogh/vincent-van-gogh__canal.jpg,vincent-van-gogh,Vincent van Gogh,Canal,1873,https://www.wikiart.org/en/vincent-van-gogh/canal,canal,https://uploads5.wikiart.org/images/vincent-van-gogh/canal(1).jpg!Large.jpg,609,600,Post-Impressionism,pencil|paper,landscape,Tree|Water,,,,
vincent-van-gogh/vincent-van-gogh__driveway.jpg,vincent-van-gogh,Vincent van Gogh,Driveway,1873,https://www.wikiart.org/en/vincent-van-gogh/driveway,driveway,https://uploads8.wikiart.org/images/vincent-van-gogh/driveway(1).jpg!Large.jpg,737,600,Post-Impressionism,pencil|paper,landscape,gardens-and-parks|Tree|Natural landscape|Branch|Road|Woody plant|Dirt road|Infrastructure|Thoroughfare|Forest|Plant,,,,
vincent-van-gogh/vincent-van-gogh__old-woman-asleep-after-rops-1873.jpg,vincent-van-gogh,Vincent van Gogh,Old Woman Asleep after Rops,1873,https://www.wikiart.org/en/vincent-van-gogh/old-woman-asleep-after-rops-1873,old-woman-asleep-after-rops-1873,https://uploads2.wikiart.org/images/vincent-van-gogh/old-woman-asleep-after-rops-1873.jpg!Large.jpg,438,600,Realism,,genre painting,leisure-and-sleep,,,,
vincent-van-gogh/vincent-van-gogh__vincent-s-boarding-house-in-hackford-road-brixton-london.jpg,vincent-van-gogh,Vincent van Gogh,"Vincent's Boarding House in Hackford Road, Brixton, London",1873,https://www.wikiart.org/en/vincent-van-gogh/vincent-s-boarding-house-in-hackford-road-brixton-london,vincent-s-boarding-house-in-hackford-road-brixton-london,https://uploads8.wikiart.org/images/vincent-van-gogh/vincent-s-boarding-house-in-hackford-road-brixton-london.jpg!Large.jpg,750,539,Realism,,sketch and study,houses-and-buildings|Text,LondonUnited Kingdom,"Van Gogh Museum, Amsterdam, Netherlands",,
vincent-van-gogh/vincent-van-gogh__austin-friars-church-london.jpg,vincent-van-gogh,Vincent van Gogh,"Austin Friars Church, London",1874,https://www.wikiart.org/en/vincent-van-gogh/austin-friars-church-london,austin-friars-church-london,https://uploads0.wikiart.org/images/vincent-van-gogh/austin-friars-church-london(1).jpg!Large.jpg,750,457,Realism,ink|paper,sketch and study,,LondonUnited Kingdom,,,
vincent-van-gogh/vincent-van-gogh__town-d-avray-l-etang-au-batelier-1875.jpg,vincent-van-gogh,Vincent van Gogh,Town d'Avray: L'Etang au Batelier,1875,https://www.wikiart.org/en/vincent-van-gogh/town-d-avray-l-etang-au-batelier-1875,town-d-avray-l-etang-au-batelier-1875,https://uploads7.wikiart.org/images/vincent-van-gogh/town-d-avray-l-etang-au-batelier-1875.jpg!Large.jpg,469,600,Realism,,sketch and study,forests-and-trees|Text|Handwriting,LondonUnited Kingdom,"Van Gogh Museum, Amsterdam, Netherlands",,
vincent-van-gogh/vincent-van-gogh__churches-at-petersham-and-turnham-green.jpg,vincent-van-gogh,Vincent van Gogh,Churches at Petersham and Turnham Green,1876,https://www.wikiart.org/en/vincent-van-gogh/churches-at-petersham-and-turnham-green,churches-at-petersham-and-turnham-green,https://uploads3.wikiart.org/images/vincent-van-gogh/churches-at-petersham-and-turnham-green(1).jpg!Large.jpg,750,336,Post-Impressionism,ink|paper,sketch and study,folk-architecture|Text|Paper product,Netherlands,,,
vincent-van-gogh/vincent-van-gogh__vicarage-and-church-at-etten-1876.jpg,vincent-van-gogh,Vincent van Gogh,Vicarage and Church at Etten,1876,https://www.wikiart.org/en/vincent-van-gogh/vicarage-and-church-at-etten-1876,vicarage-and-church-at-etten-1876,https://uploads3.wikiart.org/images/vincent-van-gogh/vicarage-and-church-at-etten-1876.jpg!Large.jpg,750,384,Realism,pencil|paper,sketch and study,streets-and-squares|houses-and-buildings|History,,,,
