artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
walter-sickert,Walter Sickert,Sketch of a female figure,1888,https://www.wikiart.org/en/walter-sickert/sketch-of-a-female-figure-1888,sketch-of-a-female-figure-1888,https://uploads6.wikiart.org/images/walter-sickert/sketch-of-a-female-figure-1888.jpg,450,484,Impressionism,pencil|paper,genre painting,female-portraits|group-portraits|fashion|Textile,,,,
walter-sickert,Walter Sickert,"Cafe of the Courts, Dieppe",1890,https://www.wikiart.org/en/walter-sickert/cafe-of-the-courts-dieppe,cafe-of-the-courts-dieppe,https://uploads1.wikiart.org/images/walter-sickert/cafe-of-the-courts-dieppe.jpg,730,599,Impressionism,,cityscape,streets-and-squares|houses-and-buildings|Normandy|cafes-and-restaurants,,,,
walter-sickert,Walter Sickert,George Moore,1891,https://www.wikiart.org/en/walter-sickert/george-moore-1891,george-moore-1891,https://uploads3.wikiart.org/images/walter-sickert/george-moore-1891.jpg!Large.jpg,496,600,Impressionism,,portrait,male-portraits|famous-people|George-Moore|Chin|Gentleman,,,,
walter-sickert,Walter Sickert,Minnie Cunningham at the Old Bedford,1892,https://www.wikiart.org/en/walter-sickert/minnie-cunningham-at-the-old-bedford-1892,minnie-cunningham-at-the-old-bedford-1892,https://uploads0.wikiart.org/images/walter-sickert/minnie-cunningham-at-the-old-bedford-1892.jpg!Large.jpg,496,600,Impressionism,,portrait,famous-people|female-portraits|Outerwear,,,,
walter-sickert,Walter Sickert,"Interior of St Mark's, Venice",1896,https://www.wikiart.org/en/walter-sickert/interior-of-st-mark-s-venice-1896,interior-of-st-mark-s-venice-1896,https://uploads1.wikiart.org/images/walter-sickert/interior-of-st-mark-s-venice-1896.jpg!Large.jpg,418,600,Impressionism,,interior,Venice|floor-and-ceiling|Holy places|Arch|Medieval architecture|Arcade|Byzantine architecture|Historic site|Building,,,,
walter-sickert,Walter Sickert,"St. Mark's, Venice",1896,https://www.wikiart.org/en/walter-sickert/st-mark-s-venice,st-mark-s-venice,https://uploads1.wikiart.org/images/walter-sickert/st-mark-s-venice.jpg,730,549,Post-Impressionism,oil|canvas,cityscape,streets-and-squares|Venice|Holy places|Byzantine architecture|Medieval architecture|Place of worship|Building,,Private Collection,,
walter-sickert,Walter Sickert,"Dieppe, Study No. 2, Facade of Saint-Jacques Tower",1899,https://www.wikiart.org/en/walter-sickert/dieppe-study-no-2-facade-of-st-jacques,dieppe-study-no-2-facade-of-st-jacques,https://uploads5.wikiart.org/images/walter-sickert/dieppe-study-no-2-facade-of-st-jacques.jpg,387,512,Impressionism,,sketch and study,streets-and-squares|houses-and-buildings|Normandy|Saint-Jacques Tower|Beige,,,,
walter-sickert,Walter Sickert,"The Arcades of Fish shop, Dieppe",1900,https://www.wikiart.org/en/walter-sickert/the-arcades-of-fish-shop-dieppe,the-arcades-of-fish-shop-dieppe,https://uploads7.wikiart.org/images/walter-sickert/the-arcades-of-fish-shop-dieppe.jpg,417,512,Post-Impressionism,,cityscape,streets-and-squares|houses-and-buildings|markets-and-shops|Normandy|arcades-and-colonnades|Building|Medieval architecture|Facade,,,,
walter-sickert,Walter Sickert,"Horses of St. Mark's, Venice",1901,https://www.wikiart.org/en/walter-sickert/horses-of-st-mark-s-venice-1901,horses-of-st-mark-s-venice-1901,https://uploads7.wikiart.org/images/walter-sickert/horses-of-st-mark-s-venice-1901.jpg,420,475,Post-Impressionism,oil|canvas,cityscape,Venice|Holy places|Landmark|Medieval architecture|Arch|Building|Classical architecture|Place of worship|Byzantine architecture,,"Bristol City Museum and Art Gallery, Bristol, UK",,
walter-sickert,Walter Sickert,"The Piazzetta and the Old Campanile, Venice",1901,https://www.wikiart.org/en/walter-sickert/the-piazzetta-and-the-old-campanile-venice,the-piazzetta-and-the-old-campanile-venice,https://uploads1.wikiart.org/images/walter-sickert/the-piazzetta-and-the-old-campanile-venice.jpg!Large.jpg,407,600,Impressionism,,cityscape,streets-and-squares|houses-and-buildings|Venice,,,,
walter-sickert,Walter Sickert,"Sketch for `The Statue of Duquesne, Dieppe'",1902,https://www.wikiart.org/en/walter-sickert/sketch-for-the-statue-of-duquesne-dieppe,sketch-for-the-statue-of-duquesne-dieppe,https://uploads7.wikiart.org/images/walter-sickert/sketch-for-the-statue-of-duquesne-dieppe.jpg,374,512,Impressionism,,sketch and study,streets-and-squares|houses-and-buildings|Normandy|monuments-and-statues|History,,,,
walter-sickert,Walter Sickert,A Marengo,1903,https://www.wikiart.org/en/walter-sickert/a-marengo,a-marengo,https://uploads3.wikiart.org/images/walter-sickert/a-marengo.jpg,730,593,Impressionism,,genre painting,female-portraits|furniture-and-decoration,,,,
