file,artist,artist_name,title,year,wikiart_url,painting_url,image_url,width,height,styles,media,genres,tags,location,galleries,period,description
paul-cezanne/paul-cezanne__bathers-2.jpg,paul-cezanne,Paul Cezanne,Bathers,1904,https://www.wikiart.org/en/paul-cezanne/bathers-2,bathers-2,https://uploads2.wikiart.org/images/paul-cezanne/bathers-2.jpg!Large.jpg,718,600,Cubism,oil|canvas,genre painting,,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__bathers-at-rest.jpg,paul-cezanne,Paul Cezanne,Bathers at Rest,1904,https://www.wikiart.org/en/paul-cezanne/bathers-at-rest,bathers-at-rest,https://uploads8.wikiart.org/images/paul-cezanne/bathers-at-rest.jpg!Large.jpg,750,523,Post-Impressionism,oil|canvas,genre painting,Human,,"Musée d'Orsay, Paris, France","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__chateau-noir.jpg,paul-cezanne,Paul Cezanne,Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/chateau-noir,chateau-noir,https://uploads5.wikiart.org/images/paul-cezanne/chateau-noir.jpg!Large.jpg,750,567,Post-Impressionism,oil|canvas,landscape,Tree|Rock,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}","On a hillside near the Bibémus quarry stood an old country house known as the Château Noir (whose name—the “black manor”—may relate to a previous exterior color). Cézanne began to paint in the area around 1900, finding numerous motifs in the dense woods on the grounds of the estate, for example: Trees and Rocks in the Park of the Château Noir, c. 1904. The house, in its decrepit isolation, inspired some of the artist’s most foreboding images. The eerie structure seen in Château Noir, 1900–1904, seemingly in ruins, is half-hidden behind pines that, like the rocks of Bibémus, almost obstruct the sky. Cézanne’s saturated palette—dark greens, blues and ochers—makes the scene all the more powerful. The somber, enclosed spaces of the paintings of the Château Noir and the Bibémus quarry count among his most emotionally profound pictures and are indicative of a decided melancholy that pervades Cézanne’s work in his last decade. By this time, suffering from diabetes, the artist had become obsessed with the reality of his own mortality."
paul-cezanne/paul-cezanne__chateau-noir-1.jpg,paul-cezanne,Paul Cezanne,Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/chateau-noir-1,chateau-noir-1,https://uploads7.wikiart.org/images/paul-cezanne/chateau-noir-1.jpg!Large.jpg,750,586,Cubism,oil|canvas,landscape,Tree,,"Museum of Modern Art (MoMA), New York City, NY, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__chateau-noir-2.jpg,paul-cezanne,Paul Cezanne,Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/chateau-noir-2,chateau-noir-2,https://uploads7.wikiart.org/images/paul-cezanne/chateau-noir-2.jpg!Large.jpg,737,600,Cubism,oil|canvas,landscape,,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__chateau-noir-4.jpg,paul-cezanne,Paul Cezanne,Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/chateau-noir-4,chateau-noir-4,https://uploads7.wikiart.org/images/paul-cezanne/chateau-noir-4.jpg!Large.jpg,750,581,Cubism,oil|canvas,landscape,Tree,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__forest-near-the-rocky-caves-above-the-chateau-noir-1904.jpg,paul-cezanne,Paul Cezanne,Forest near the rocky caves above the Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/forest-near-the-rocky-caves-above-the-chateau-noir-1904,forest-near-the-rocky-caves-above-the-chateau-noir-1904,https://uploads3.wikiart.org/images/paul-cezanne/forest-near-the-rocky-caves-above-the-chateau-noir-1904.jpg!Large.jpg,460,600,Cubism,oil|canvas,landscape,Tree,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__little-girl-with-a-doll-1904.jpg,paul-cezanne,Paul Cezanne,Little Girl with a Doll,1904,https://www.wikiart.org/en/paul-cezanne/little-girl-with-a-doll-1904,little-girl-with-a-doll-1904,https://uploads3.wikiart.org/images/paul-cezanne/little-girl-with-a-doll-1904.jpg!Large.jpg,495,600,Post-Impressionism,oil|canvas,portrait,,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__rocks-near-the-caves-below-the-chateau-noir.jpg,paul-cezanne,Paul Cezanne,Rocks near the Caves below the Chateau Noir,1904,https://www.wikiart.org/en/paul-cezanne/rocks-near-the-caves-below-the-chateau-noir,rocks-near-the-caves-below-the-chateau-noir,https://uploads0.wikiart.org/images/paul-cezanne/rocks-near-the-caves-below-the-chateau-noir.jpg!Large.jpg,490,600,Cubism,oil|canvas,landscape,Tree,,"Musée d'Orsay, Paris, France","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__roses-in-a-bottle-1904.jpg,paul-cezanne,Paul Cezanne,Roses in a Bottle,1904,https://www.wikiart.org/en/paul-cezanne/roses-in-a-bottle-1904,roses-in-a-bottle-1904,https://uploads5.wikiart.org/images/paul-cezanne/roses-in-a-bottle-1904.jpg,279,390,Cubism,watercolor|paper,still life,Garden roses|Flower|Rose|Still life photography,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__seated-peasant.jpg,paul-cezanne,Paul Cezanne,Seated Peasant,1904,https://www.wikiart.org/en/paul-cezanne/seated-peasant,seated-peasant,https://uploads7.wikiart.org/images/paul-cezanne/seated-peasant.jpg!Large.jpg,470,600,Post-Impressionism,oil|canvas,portrait,Gentleman,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__still-life-with-apples-a-bottle-and-a-milk-pot.jpg,paul-cezanne,Paul Cezanne,"Still Life with Apples, a Bottle and a Milk Pot",1904,https://www.wikiart.org/en/paul-cezanne/still-life-with-apples-a-bottle-and-a-milk-pot,still-life-with-apples-a-bottle-and-a-milk-pot,https://uploads3.wikiart.org/images/paul-cezanne/still-life-with-apples-a-bottle-and-a-milk-pot.jpg!Large.jpg,750,577,Post-Impressionism,watercolor|paper,still life,Still life photography,,"Dallas Museum of Art, Dallas, TX, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__the-park-of-the-chateau-noir-with-well.jpg,paul-cezanne,Paul Cezanne,The Park of the Chateau Noir with Well,1904,https://www.wikiart.org/en/paul-cezanne/the-park-of-the-chateau-noir-with-well,the-park-of-the-chateau-noir-with-well,https://uploads4.wikiart.org/images/paul-cezanne/the-park-of-the-chateau-noir-with-well.jpg!Large.jpg,451,600,Cubism,watercolor|paper,landscape,Tree|Sketch|Branch|Plant,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__bathers-1905.jpg,paul-cezanne,Paul Cezanne,Bathers,1905,https://www.wikiart.org/en/paul-cezanne/bathers-1905,bathers-1905,https://uploads5.wikiart.org/images/paul-cezanne/bathers-1905.jpg!Large.jpg,727,600,Post-Impressionism,oil|canvas,genre painting,Tree,,"Art Institute of Chicago, Chicago, IL, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__chateau-noir-3.jpg,paul-cezanne,Paul Cezanne,Chateau Noir,1905,https://www.wikiart.org/en/paul-cezanne/chateau-noir-3,chateau-noir-3,https://uploads7.wikiart.org/images/paul-cezanne/chateau-noir-3.jpg!Large.jpg,707,600,Post-Impressionism,oil|canvas,landscape,,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__large-bathers.jpg,paul-cezanne,Paul Cezanne,Large Bathers,1905,https://www.wikiart.org/en/paul-cezanne/large-bathers,large-bathers,https://uploads6.wikiart.org/images/paul-cezanne/large-bathers.jpg!Large.jpg,750,444,Post-Impressionism,oil|canvas,genre painting,Mythology,,"Barnes Foundation, Philadelphia, PA, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__large-pine.jpg,paul-cezanne,Paul Cezanne,Large Pine,1905,https://www.wikiart.org/en/paul-cezanne/large-pine,large-pine,https://uploads3.wikiart.org/images/paul-cezanne/large-pine.jpg!Large.jpg,750,462,Post-Impressionism,,landscape,Tree|Branch|Plant|Botany|Twig|Woody plant|Canoe birch,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-seen-from-les-lauves-1905.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire Seen from les Lauves,1905,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves-1905,mont-sainte-victoire-seen-from-les-lauves-1905,https://uploads3.wikiart.org/images/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves-1905.jpg!Large.jpg,750,584,Cubism,oil|canvas,landscape,,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__montagne-sainte-victoire-and-the-black-chateau.jpg,paul-cezanne,Paul Cezanne,Montagne Sainte-Victoire and the Black Chateau,1905,https://www.wikiart.org/en/paul-cezanne/montagne-sainte-victoire-and-the-black-chateau,montagne-sainte-victoire-and-the-black-chateau,https://uploads3.wikiart.org/images/paul-cezanne/montagne-sainte-victoire-and-the-black-chateau.jpg!Large.jpg,747,600,Cubism,oil|canvas,landscape,Tree|Sky,,"Artizon Museum, Tokyo, Japan","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__montagne-sainte-victoire-from-lauves.jpg,paul-cezanne,Paul Cezanne,Montagne Sainte-Victoire from Lauves,1905,https://www.wikiart.org/en/paul-cezanne/montagne-sainte-victoire-from-lauves,montagne-sainte-victoire-from-lauves,https://uploads2.wikiart.org/images/paul-cezanne/montagne-sainte-victoire-from-lauves.jpg!Large.jpg,715,600,Cubism,oil|canvas,landscape,,,"Kunstmuseum Basel, Basel, Switzerland","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__riverbanks-1905.jpg,paul-cezanne,Paul Cezanne,Riverbanks,1905,https://www.wikiart.org/en/paul-cezanne/riverbanks-1905,riverbanks-1905,https://uploads8.wikiart.org/images/paul-cezanne/riverbanks-1905.jpg!Large.jpg,750,587,Cubism,oil|canvas,landscape,Human settlement|Skyline|City|Sky,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__still-life-with-flower-holder-1905.jpg,paul-cezanne,Paul Cezanne,Still Life with Flower Holder,1905,https://www.wikiart.org/en/paul-cezanne/still-life-with-flower-holder-1905,still-life-with-flower-holder-1905,https://uploads0.wikiart.org/images/paul-cezanne/still-life-with-flower-holder-1905.jpg!Large.jpg,742,600,Post-Impressionism,oil|canvas,still life,Still life photography,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__the-bend-in-the-road.jpg,paul-cezanne,Paul Cezanne,The Bend in the road,1905,https://www.wikiart.org/en/paul-cezanne/the-bend-in-the-road,the-bend-in-the-road,https://uploads4.wikiart.org/images/paul-cezanne/the-bend-in-the-road.jpg!Large.jpg,480,600,Cubism,oil|canvas,landscape,,,"Neue Pinakothek, Munich, Germany","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__bathers-1906.jpg,paul-cezanne,Paul Cezanne,Bathers,1906,https://www.wikiart.org/en/paul-cezanne/bathers-1906,bathers-1906,https://uploads5.wikiart.org/images/paul-cezanne/bathers-1906.jpg!Large.jpg,485,600,Post-Impressionism,oil|canvas,genre painting,Tree|Woody plant|Plant,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__bend-in-forest-road-1906.jpg,paul-cezanne,Paul Cezanne,Bend in Forest Road,1906,https://www.wikiart.org/en/paul-cezanne/bend-in-forest-road-1906,bend-in-forest-road-1906,https://uploads8.wikiart.org/images/paul-cezanne/bend-in-forest-road-1906.jpg!Large.jpg,469,600,Cubism,oil|canvas,landscape,Tree,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__jourdan-s-cottage-1906.jpg,paul-cezanne,Paul Cezanne,Jourdan's Cottage,1906,https://www.wikiart.org/en/paul-cezanne/jourdan-s-cottage-1906,jourdan-s-cottage-1906,https://uploads6.wikiart.org/images/paul-cezanne/jourdan-s-cottage-1906.jpg!Large.jpg,750,600,Cubism,oil|canvas,landscape,,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__jourdan-s-cottage-1906-1.jpg,paul-cezanne,Paul Cezanne,Jourdan's Cottage,1906,https://www.wikiart.org/en/paul-cezanne/jourdan-s-cottage-1906-1,jourdan-s-cottage-1906-1,https://uploads8.wikiart.org/images/paul-cezanne/jourdan-s-cottage-1906-1.jpg!Large.jpg,750,589,Cubism,watercolor|paper,landscape,Sketch,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__large-bathers-1906.jpg,paul-cezanne,Paul Cezanne,Large Bathers,1906,https://www.wikiart.org/en/paul-cezanne/large-bathers-1906,large-bathers-1906,https://uploads2.wikiart.org/images/paul-cezanne/large-bathers-1906.jpg!Large.jpg,709,600,Cubism,oil|canvas,genre painting,Mythology,,"Philadelphia Museum of Art, Philadelphia, PA, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}","In his final years, Paul Cézanne painted three large canvases of female nudes in a natural landscape. The largest and the last of these is Large Bathers (1900-1906) at the Philadelphia Museum of Art, a monumental painting that presents a harmonious scene of calm and serenity. It represents the culmination of the artist’s [url href=https://www.wikiart.org/en/paul-cezanne/all-works#!#filterName:Series_bathers,resultType:masonry]lifelong exploration[/url] of the traditional theme of nudes in nature. The unfinished state of the painting is also important, as it creates a sense of spatial openness in the composition.

In conceiving [i]Large Bathers[/i] Cézanne drew upon historical precedents in art and his imagination rather than natural observation. He also relied on photographic sources, partly because these did not present him the same challenges as live models: photographs never grew tired or restless, and many scholars have noted that throughout his life Cézanne struggled in the presence of women and had a fear of female sexuality. He owned the book [i]Le Nu au Louvre[/i] (The Nude in the Louvre) by Armand Silvestre, that contained photographs of nudes from Hellenistic to modern times. These were an important source for the painter, who was especially interested in the photographs of sculpture. He also saw many of these works and had sketched them during his visits to the Louvre. In [i]Large Bathers[/i], for instance, the pose of the second figure was likely modeled after several sculptures: the crouched pose is reminiscent of the antique sculpture [i]Vénus de Vienne[/i] and the extended arm could have been modeled after James Pradier’s [i]La Toilette d'Atalante[/i] (1850).

Another characteristic of Cézanne’s canvases of female bathers is the triangular composition. This is evident in the composition of [i]Large Bathers[/i], which consists of two triangular groups of bathers. The groups are surrounded by trees and foliage, that create a pyramidal composition. Cézanne used a pyramidal composition in multiple figure-groups he painted in the late 1870s and 1880s: [url href=https://www.wikiart.org/en/paul-cezanne/bathers-in-front-of-a-tend][i]Bathers Outside a Tent[/i][/url] (c. 1883-1885) and [url href=https://www.wikiart.org/en/paul-cezanne/five-bathers-1887][i]Five Bathers[/i][/url] (1885-1887). The triangular composition was not unique to Cézanne, it was used by other 19th century French painters, like [url href=https://www.wikiart.org/en/pierre-auguste-renoir]Pierre Renoir[/url] in [url href=https://www.wikiart.org/en/pierre-auguste-renoir/the-large-bathers-1887][i]The Large Bathers[/i][/url] (1884-1887).

At the same time, [i]Large Bathers[/i] does not conform to the standard conventions of representing nudes in a landscape. Cézanne’s nude depictions lack the sensuality and eroticism typical of the theme. The painting demonstrates Cézanne’s modern treatment of a traditional theme, particularly his treatment of the human figure: he paints the nude female bodies in the same way he paints the landscape. Cézanne’s bathers are coarse and inelegant, their limbs are inexplicably melded into one another. Scholars have interpreted this in different ways: some emphasized how [i]Large Bathers[/i] represent a new mode of painting, that highlights the purity of form and color rather than anatomical accuracy. Others argue that the de-eroticized nudes reflect Cézanne’s anxieties about women. [i]Large Bathers[/i] holds a significant place in art history, in its innovation and originality it influenced a future generation of artists. It was an important precedent for [url href=https://www.wikiart.org/en/pablo-picasso]Pablo Picasso[/url]’s [url href=https://www.wikiart.org/en/pablo-picasso/the-girls-of-avignon-1907][i]Les Demoiselles d'Avignon[/i][/url] (1907) and [url href=https://www.wikiart.org/en/henri-matisse]Henri Matisse[/url]’s [url href=https://www.wikiart.org/en/henri-matisse/bathers-by-a-river-1916][i]Bathers by a River[/i][/url] (1909-1916)."
paul-cezanne/paul-cezanne__mill-on-the-river.jpg,paul-cezanne,Paul Cezanne,Mill on the River,1906,https://www.wikiart.org/en/paul-cezanne/mill-on-the-river,mill-on-the-river,https://uploads1.wikiart.org/images/paul-cezanne/mill-on-the-river.jpg!Large.jpg,750,476,Cubism,watercolor|paper,landscape,Sketch,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire,mont-sainte-victoire,https://uploads4.wikiart.org/images/paul-cezanne/mont-sainte-victoire.jpg!Large.jpg,750,435,Cubism,oil|canvas,landscape,Tree|Rural area,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-6.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-6,mont-sainte-victoire-6,https://uploads6.wikiart.org/images/paul-cezanne/mont-sainte-victoire-6.jpg!Large.jpg,750,582,Post-Impressionism,oil|canvas,landscape,Mountain,,"Kunsthaus Zürich, Zürich, Switzerland","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-7.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-7,mont-sainte-victoire-7,https://uploads6.wikiart.org/images/paul-cezanne/mont-sainte-victoire-7.jpg!Large.jpg,750,597,Cubism,oil|canvas,landscape,,,Private Collection,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-8.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-8,mont-sainte-victoire-8,https://uploads6.wikiart.org/images/paul-cezanne/mont-sainte-victoire-8.jpg!Large.jpg,731,600,Cubism,oil|canvas,landscape,Natural environment,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-seen-from-les-lauves.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire Seen from les Lauves,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves,mont-sainte-victoire-seen-from-les-lauves,https://uploads7.wikiart.org/images/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves.jpg!Large.jpg,750,595,Cubism,oil|canvas,landscape,,,,"{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__mont-sainte-victoire-seen-from-les-lauves-1.jpg,paul-cezanne,Paul Cezanne,Mont Sainte-Victoire Seen from les Lauves,1906,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves-1,mont-sainte-victoire-seen-from-les-lauves-1,https://uploads0.wikiart.org/images/paul-cezanne/mont-sainte-victoire-seen-from-les-lauves-1.jpg!Large.jpg,700,600,Cubism,oil|canvas,landscape,Tree|Leaf,,"Pushkin Museum, Moscow, Russia","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
paul-cezanne/paul-cezanne__morning-in-provence.jpg,paul-cezanne,Paul Cezanne,Morning in Provence,1906,https://www.wikiart.org/en/paul-cezanne/morning-in-provence,morning-in-provence,https://uploads3.wikiart.org/images/paul-cezanne/morning-in-provence.jpg!Large.jpg,457,600,Cubism,oil|canvas,landscape,Tree,,"Albright-Knox Art Gallery, Buffalo, NY, US","{'id': '57726d84edc2cb3880b48a65', 'title': 'Final period'}",
